id,name,team,minutes_average,passes_accuracy,take_ons_accuracy,challenges_accuracy,tackles_accuracy,shots_accuracy,saves_accuracy,external_id,matches_played,starts,minutes,progressive_carries,progressive_passes,progressive_passes_received,touches,carries,miscontrols,dispossessed,passes_completed,passes_attempted,take_ons_attempted,successful_take_ons,tackles,tackles_won,blocks,shots_blocked,passes_blocked,interceptions,clearances,recoveries,dribblers_challenged,challenges_lost,errors,shot_creating_actions,goal_creating_actions,shots_total,shots_on_target,expected_goals,expected_assists,key_passes,carries_into_final_third,offsides,gk_shots_on_target_against,gk_saves
167,Axel Disasi,Aston Villa,70,86.79,59.88,43.59,62.92,0,0,ad82197c,7,5,490,1.11,1.78,0.56,37.11,23,0.33,0.22,27,31.11,1.67,1,0.89,0.56,0.44,0.11,0.33,0.56,2,1.67,0.78,0.44,0,1,0,0.22,0,0.01,0.03,0.33,0.89,0.22,0,0
233,Amadou Onana,Aston Villa,62.19,87.64,70.37,55.13,54.36,34.78,0,828657ff,26,20,"1,617",0.78,2.03,0.43,26.97,14.95,0.3,0.24,19,21.68,0.54,0.38,1.49,0.81,0.43,0.19,0.24,0.7,1.11,1.95,0.78,0.35,0.08,0.86,0.11,0.46,0.16,0.06,0.02,0.27,0.68,0,0,0
385,Marcus Rashford,Aston Villa,44.4,71.34,40.91,66.67,70,27.78,0,a1d5bd30,10,4,444,1.1,0.65,2.1,11.35,6.35,0.4,0.05,5.85,8.2,1.1,0.45,0.5,0.35,0.1,0,0.1,0.05,0.15,0.7,0.3,0.1,0,1.35,0.15,0.9,0.25,0.16,0.11,0.65,0.5,0.05,0,0
598,Lamare Bogarde,Aston Villa,59.5,88.22,51.52,62.41,42.74,100,0,bca5c4a7,8,5,476,1,1.17,0.75,27.08,14.42,0.5,0.67,20,22.67,0.33,0.17,1.17,0.5,0.42,0.25,0.17,0.08,1.08,1.08,1.33,0.5,0,0.83,0.08,0.08,0.08,0,0.01,0.17,0.5,0,0,0
710,Jamaldeen Jimoh,Aston Villa,0,0,0,0,0,0,0,1e711234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,Donyell Malen,Aston Villa,21.79,68.89,36.84,28.57,58.33,61.54,0,116c35df,14,2,305,0.21,0.11,0.53,2.26,1.39,0.14,0.12,0.93,1.35,0.19,0.07,0.12,0.07,0.04,0,0.04,0,0.02,0.16,0.07,0.05,0,0.11,0,0.26,0.16,0.04,0,0.05,0.12,0.04,0,0
731,Andrés García,Aston Villa,45.43,86.55,27.54,50,55.07,0,0,40498af1,7,5,318,2,1.15,2.15,19.69,12.23,0.77,0.46,13.38,15.46,1.38,0.38,0.69,0.38,0.15,0,0.15,0.15,0.77,1.15,0.62,0.31,0.15,0.23,0,0.15,0,0,0.03,0.23,1,0,0,0
762,Marco Asensio,Aston Villa,57.15,77.32,63.16,33.33,71.43,40.91,0,45af8a54,13,9,743,1.1,2.25,1.9,19.3,12.1,0.45,0.4,12.1,15.65,0.95,0.6,0.35,0.25,0.35,0.05,0.3,0.1,0.15,1.4,0.45,0.3,0,1.75,0.15,1.1,0.45,0.22,0.06,0.8,1.05,0.1,0,0
59,Max Aarons,Bournemouth,30,71.27,24.24,80.95,100,0,0,774cf58b,4,1,120,0,0.5,0.83,7.08,3.83,0.25,0.08,3.92,5.5,0.33,0.08,0.33,0.33,0.08,0,0.08,0,0.25,0.58,0.42,0.08,0,0.08,0,0,0,0,0,0.08,0.25,0,0,0
60,Tyler Adams,Bournemouth,70.18,84.38,21.57,54.37,60.34,23.08,0,2b09d998,28,21,1965,0.4,2.17,0.29,38.2,18.94,0.8,0.34,25.77,30.54,0.51,0.11,2.37,1.43,0.94,0.29,0.66,0.91,1.2,3.26,2.06,0.94,0,1.17,0.11,0.26,0.06,0.05,0.02,0.51,0.63,0,0,0
